Breed,Sex,DOB,Intake_Date,Outcome_Date,Intake_Type,Animal_Type,Outcome_Type,Intake_Condition,Time_in_Shelter_Days,Primary_Color,Secondary_Color,Outcome_Age,Shelter_Name,Intake_Age
GERM SHEPHERD/PIT BULL,Neutered,2019-10-07,2023-04-24,2023-08-09,QUARANTINE,DOG,return to owner,UNKNOWN,107,tricolor,none,1402,Sonoma County Animal Shelter,1295
FRENCH BULLDOG,Male,2022-02-14,2023-08-09,2023-08-09,STRAY,DOG,return to owner,UNKNOWN,0,gray,white,541,Sonoma County Animal Shelter,541
POTBELLY PIG,Male,2023-02-09,2023-07-18,2100-01-01,STRAY,OTHER,not available,UNKNOWN,0,brown,black,NaT,Sonoma County Animal Shelter,159
DOMESTIC MH,Female,2020-06-29,2023-06-29,2100-01-01,STRAY,CAT,not available,HEALTHY,0,tortie,gray,NaT,Sonoma County Animal Shelter,1095
DOMESTIC MH,Male,2023-06-26,2023-07-26,2023-08-09,STRAY,CAT,transfer,TREATABLE/REHAB,14,brn tabby,none,44,Sonoma County Animal Shelter,30
LABRADOR RETR,Male,2020-06-09,2023-08-10,2023-08-10,CONFISCATE,DOG,return to owner,HEALTHY,0,yellow,none,1157,Sonoma County Animal Shelter,1157
DOMESTIC SH,Spayed,2021-07-18,2023-07-18,2023-08-10,STRAY,CAT,transfer,HEALTHY,23,tortie,none,753,Sonoma County Animal Shelter,730
DOMESTIC MH,Male,2023-04-18,2023-06-03,2023-08-10,STRAY,CAT,transfer,UNKNOWN,68,brn tabby,white,114,Sonoma County Animal Shelter,46
DOMESTIC MH,Male,2023-04-18,2023-06-03,2023-08-10,STRAY,CAT,transfer,UNKNOWN,68,brn tabby,none,114,Sonoma County Animal Shelter,46
DOMESTIC MH,Male,2023-04-15,2023-06-03,2023-08-10,STRAY,CAT,transfer,UNKNOWN,68,gray tabby,none,117,Sonoma County Animal Shelter,49
DOMESTIC SH,Spayed,2018-04-27,2023-04-27,2023-08-10,OWNER SURRENDER,CAT,transfer,HEALTHY,105,black,white,1931,Sonoma County Animal Shelter,1826
DOMESTIC MH,Female,2023-04-18,2023-06-03,2023-08-10,STRAY,CAT,transfer,UNKNOWN,68,black,white,114,Sonoma County Animal Shelter,46
GREAT PYRENEES,Male,1900-01-01,2023-07-26,2023-08-10,CONFISCATE,DOG,euthanize,UNKNOWN,15,white,none,NaT,Sonoma County Animal Shelter,45131
PIT BULL,Female,1900-01-01,2023-07-12,2023-08-10,STRAY,DOG,euthanize,UNKNOWN,29,br brindle,none,NaT,Sonoma County Animal Shelter,45117
BAT,Unknown,1900-01-01,2023-08-06,2023-08-10,QUARANTINE,OTHER,transfer,UNKNOWN,4,brown,none,NaT,Sonoma County Animal Shelter,45142
DOMESTIC SH,Male,2023-07-18,2023-08-08,2023-08-09,STRAY,CAT,transfer,UNKNOWN,1,org tabby,white,22,Sonoma County Animal Shelter,21
CATAHOULA/PIT BULL,Neutered,2021-12-13,2023-05-09,2100-01-01,STRAY,DOG,not available,HEALTHY,0,tan,white,NaT,Sonoma County Animal Shelter,512
POMERANIAN/MIX,Female,2018-11-13,2023-06-22,2023-07-07,STRAY,DOG,transfer,UNKNOWN,15,black,white,1697,Sonoma County Animal Shelter,1682
DOMESTIC SH,Spayed,2023-03-03,2023-06-27,2023-08-11,STRAY,CAT,adoption,HEALTHY,45,black,none,161,Sonoma County Animal Shelter,116
PEAFOWL,Female,1900-01-01,2023-06-02,2023-08-11,STRAY,OTHER,adoption,UNKNOWN,70,brown,none,NaT,Sonoma County Animal Shelter,45077
DOMESTIC MH,Neutered,2020-06-22,2023-06-17,2023-08-11,STRAY,CAT,adoption,HEALTHY,55,black,none,1145,Sonoma County Animal Shelter,1090
DOMESTIC MH,Neutered,2023-05-08,2023-07-08,2023-08-11,STRAY,CAT,adoption,HEALTHY,34,gray,none,95,Sonoma County Animal Shelter,61
LABRADOR RETR/MIX,Female,2010-05-22,2015-02-18,2015-02-20,CONFISCATE,DOG,return to owner,HEALTHY,2,black,white,1735,Sonoma County Animal Shelter,1733
DOMESTIC SH,Neutered,2010-04-01,2023-08-10,2023-08-11,CONFISCATE,CAT,return to owner,UNKNOWN,1,black,none,4880,Sonoma County Animal Shelter,4879
DOMESTIC SH,Neutered,2022-06-13,2023-08-11,2023-08-11,CONFISCATE,CAT,return to owner,UNKNOWN,0,black,none,424,Sonoma County Animal Shelter,424
PIT BULL,Male,2022-03-28,2023-06-05,2023-08-11,CONFISCATE,DOG,euthanize,UNKNOWN,67,white,red,501,Sonoma County Animal Shelter,434
BORDER COLLIE/MIX,Female,2022-04-17,2023-08-09,2023-08-11,STRAY,DOG,return to owner,UNKNOWN,2,black,white,481,Sonoma County Animal Shelter,479
GERM SHEPHERD,Female,1900-01-01,2023-07-18,2023-08-11,STRAY,DOG,euthanize,UNKNOWN,24,black,tan,NaT,Sonoma County Animal Shelter,45123
DOMESTIC SH,Female,2023-06-14,2023-07-29,2023-08-12,STRAY,CAT,transfer,TREATABLE/REHAB,14,calico,none,59,Sonoma County Animal Shelter,45
PARAKEET,Male,1900-01-01,2023-08-04,2023-08-12,STRAY,OTHER,adoption,HEALTHY,8,purple,none,NaT,Sonoma County Animal Shelter,45140
DOMESTIC SH,Female,2023-07-15,2023-08-12,2023-08-12,STRAY,CAT,transfer,TREATABLE/REHAB,0,calico,none,28,Sonoma County Animal Shelter,28
DOMESTIC SH,Female,2023-07-15,2023-08-12,2023-08-12,STRAY,CAT,transfer,TREATABLE/REHAB,0,tortie,none,28,Sonoma County Animal Shelter,28
DOMESTIC SH,Female,1900-01-01,2023-08-05,2023-08-12,STRAY,CAT,transfer,TREATABLE/REHAB,7,tortie,none,NaT,Sonoma County Animal Shelter,45141
DOMESTIC SH,Female,2023-05-29,2023-07-29,2023-08-12,STRAY,CAT,transfer,UNKNOWN,14,brn tabby,none,75,Sonoma County Animal Shelter,61
DOMESTIC SH,Female,2023-06-14,2023-07-29,2023-08-12,STRAY,CAT,transfer,TREATABLE/REHAB,14,brn tabby,tortie,59,Sonoma County Animal Shelter,45
DOMESTIC SH,Male,2023-07-15,2023-08-12,2023-08-12,STRAY,CAT,transfer,TREATABLE/REHAB,0,black,white,28,Sonoma County Animal Shelter,28
SIBERIAN HUSKY,Spayed,2022-04-11,2023-03-07,2100-01-01,STRAY,DOG,not available,HEALTHY,0,white,brown,NaT,Sonoma County Animal Shelter,330
PIT BULL/MIX,Neutered,2022-07-26,2023-07-22,2100-01-01,ADOPTION RETURN,DOG,not available,HEALTHY,0,gray,none,NaT,Sonoma County Animal Shelter,361
GERM SHEPHERD/BORDER COLLIE,Male,2022-08-10,2023-08-10,2023-08-15,CONFISCATE,DOG,return to owner,UNKNOWN,5,black,none,370,Sonoma County Animal Shelter,365
ABYSSINIAN/DOMESTIC SH,Neutered,2021-07-19,2023-06-21,2023-08-15,STRAY,CAT,adoption,HEALTHY,55,agouti,brn tabby,757,Sonoma County Animal Shelter,702
SCHNAUZER MIN/MIX,Spayed,2013-12-20,2021-06-18,2021-06-29,QUARANTINE,DOG,return to owner,UNKNOWN,11,brown,none,2748,Sonoma County Animal Shelter,2737
BEAGLE/MIX,Male,2022-08-11,2023-08-11,2023-08-15,STRAY,DOG,return to owner,HEALTHY,4,white,tan,369,Sonoma County Animal Shelter,365
GERM SHEPHERD/MIX,Spayed,2022-02-21,2023-04-11,2023-08-15,STRAY,DOG,transfer,UNKNOWN,126,brown,black,540,Sonoma County Animal Shelter,414
DOMESTIC SH,Neutered,2016-09-04,2016-10-28,2016-11-17,STRAY,CAT,adoption,HEALTHY,20,gray,none,74,Sonoma County Animal Shelter,54
CHIHUAHUA SH,Neutered,2011-08-15,2023-08-13,2023-08-15,CONFISCATE,DOG,return to owner,UNKNOWN,2,tan,none,4383,Sonoma County Animal Shelter,4381
DOMESTIC SH,Spayed,2022-05-17,2022-08-13,2022-09-10,STRAY,CAT,adoption,HEALTHY,28,brn tabby,tortie,116,Sonoma County Animal Shelter,88
SCHNAUZER MIN/MIX,Spayed,2013-12-20,2022-04-02,2022-04-13,QUARANTINE,DOG,return to owner,UNKNOWN,11,brown,none,3036,Sonoma County Animal Shelter,3025
DOMESTIC MH,Neutered,2022-06-30,2023-06-30,2023-08-15,STRAY,CAT,adoption,HEALTHY,46,brn tabby,white,411,Sonoma County Animal Shelter,365
DOMESTIC SH,Neutered,2023-06-16,2023-08-01,2100-01-01,STRAY,CAT,not available,HEALTHY,0,brn tabby,none,NaT,Sonoma County Animal Shelter,46
DOMESTIC SH,Neutered,2023-04-03,2023-08-03,2023-08-15,STRAY,CAT,adoption,HEALTHY,12,gray tabby,none,134,Sonoma County Animal Shelter,122
CHIHUAHUA SH,Male,2016-07-17,2023-07-17,2023-08-15,STRAY,DOG,transfer,UNKNOWN,29,tricolor,none,2585,Sonoma County Animal Shelter,2556
SCHNAUZER MIN/MIX,Spayed,2013-12-20,2018-12-09,2018-12-20,CONFISCATE,DOG,return to owner,UNKNOWN,11,brown,none,1826,Sonoma County Animal Shelter,1815
DOMESTIC LH,Neutered,2023-04-29,2023-06-13,2023-07-11,STRAY,CAT,adoption,HEALTHY,28,brn tabby,none,73,Sonoma County Animal Shelter,45
SCHNAUZER MIN/MIX,Spayed,2020-06-29,2023-06-29,2023-08-15,STRAY,DOG,adoption,UNKNOWN,47,white,black,1142,Sonoma County Animal Shelter,1095
DACHSHUND,Female,1900-01-01,2023-08-12,2023-08-12,STRAY,DOG,return to owner,UNKNOWN,0,red,none,NaT,Sonoma County Animal Shelter,45148
LABRADOR RETR/MIX,Female,2010-05-22,2023-08-10,2023-08-15,CONFISCATE,DOG,return to owner,UNKNOWN,5,black,white,4833,Sonoma County Animal Shelter,4828
GERM SHEPHERD/BORDER COLLIE,Male,2022-08-10,2023-08-10,2023-08-15,CONFISCATE,DOG,return to owner,UNKNOWN,5,black,brown,370,Sonoma County Animal Shelter,365
BAT,Unknown,1900-01-01,2023-08-11,2023-08-16,QUARANTINE,OTHER,transfer,UNKNOWN,5,brown,none,NaT,Sonoma County Animal Shelter,45147
AUST CATTLE DOG,Spayed,2023-04-20,2023-07-05,2023-08-16,STRAY,DOG,adoption,HEALTHY,42,black,white,118,Sonoma County Animal Shelter,76
GERM SHEPHERD/MIX,Female,2021-08-16,2023-08-16,2100-01-01,STRAY,DOG,not available,UNKNOWN,0,black,tan,NaT,Sonoma County Animal Shelter,730
PIT BULL,Female,2021-09-26,2022-11-25,2022-11-26,CONFISCATE,DOG,return to owner,HEALTHY,1,brown,none,426,Sonoma County Animal Shelter,425
PIT BULL/MIX,Neutered,2013-06-19,2015-11-07,2015-11-07,STRAY,DOG,return to owner,HEALTHY,0,gray,white,871,Sonoma County Animal Shelter,871
BLACK/TAN HOUND/MIX,Neutered,2011-08-16,2023-08-16,2023-08-16,STRAY,DOG,return to owner,UNKNOWN,0,black,brown,4383,Sonoma County Animal Shelter,4383
PIT BULL/MIX,Neutered,2013-06-19,2016-01-20,2016-02-25,CONFISCATE,DOG,euthanize,TREATABLE/MANAGEABLE,36,gray,white,981,Sonoma County Animal Shelter,945
GERM SHEPHERD,Male,2020-08-02,2023-08-02,2023-08-05,CONFISCATE,DOG,return to owner,UNKNOWN,3,black,none,1098,Sonoma County Animal Shelter,1095
DOMESTIC MH,Neutered,2009-08-16,2023-08-16,2023-08-16,STRAY,CAT,euthanize,UNTREATABLE,0,gray tabby,none,5113,Sonoma County Animal Shelter,5113
GERM SHEPHERD,Male,2020-08-02,2023-08-13,2023-08-16,CONFISCATE,DOG,return to owner,UNKNOWN,3,black,none,1109,Sonoma County Animal Shelter,1106
PAPILLON/MIX,Female,2020-08-16,2023-08-14,2023-08-16,STRAY,DOG,return to owner,UNKNOWN,2,black,white,1095,Sonoma County Animal Shelter,1093
DOMESTIC MH,Unknown,1900-01-01,2023-08-16,2023-08-17,STRAY,CAT,died,UNKNOWN,1,agouti,none,NaT,Sonoma County Animal Shelter,45152
DOMESTIC MH,Unknown,1900-01-01,2023-08-16,2100-01-01,STRAY,CAT,not available,UNKNOWN,0,agouti,none,NaT,Sonoma County Animal Shelter,45152
DOMESTIC MH,Female,2021-08-16,2023-08-16,2100-01-01,STRAY,CAT,not available,UNKNOWN,0,brn tabby,none,NaT,Sonoma County Animal Shelter,730
GREAT PYRENEES/MIX,Spayed,2020-08-15,2023-06-26,2023-08-17,STRAY,DOG,adoption,TREATABLE/MANAGEABLE,52,white,black,1097,Sonoma County Animal Shelter,1045
ALASKAN HUSKY,Neutered,2021-07-11,2023-06-09,2023-06-14,STRAY,DOG,return to owner,UNKNOWN,5,white,none,703,Sonoma County Animal Shelter,698
CHIHUAHUA SH,Neutered,2017-02-21,2017-12-12,2017-12-29,OWNER SURRENDER,DOG,adoption,UNKNOWN,17,brown,none,311,Sonoma County Animal Shelter,294
PIT BULL,Spayed,2022-11-07,2023-08-17,2023-08-17,STRAY,DOG,return to owner,UNKNOWN,0,brown,tan,283,Sonoma County Animal Shelter,283
DOMESTIC SH,Female,2023-06-17,2023-08-11,2023-08-12,STRAY,CAT,euthanize,UNKNOWN,1,brn tabby,none,56,Sonoma County Animal Shelter,55
BOXER/MIX,Spayed,2022-06-29,2023-06-29,2023-08-17,STRAY,DOG,adoption,HEALTHY,49,white,none,414,Sonoma County Animal Shelter,365
PIT BULL,Spayed,2019-06-14,2023-06-14,2023-08-17,STRAY,DOG,adoption,HEALTHY,64,brown,white,1525,Sonoma County Animal Shelter,1461
DOMESTIC SH,Spayed,2023-05-31,2023-07-07,2023-08-17,STRAY,CAT,adoption,TREATABLE/REHAB,41,gray,none,78,Sonoma County Animal Shelter,37
DOMESTIC SH,Unknown,2023-05-01,2023-08-16,2023-08-18,STRAY,CAT,transfer,UNKNOWN,2,gray,white,109,Sonoma County Animal Shelter,107
DOMESTIC SH,Spayed,2014-07-13,2014-12-14,2015-01-16,STRAY,CAT,adoption,HEALTHY,33,black,none,187,Sonoma County Animal Shelter,154
PIT BULL,Male,2022-12-18,2023-08-18,2023-08-18,STRAY,DOG,return to owner,UNKNOWN,0,black,tan,243,Sonoma County Animal Shelter,243
PIT BULL,Male,2012-08-17,2023-08-11,2023-08-18,CONFISCATE,DOG,return to owner,UNKNOWN,7,black,white,4018,Sonoma County Animal Shelter,4011
PIT BULL,Male,2023-04-18,2023-08-18,2023-08-18,STRAY,DOG,return to owner,UNKNOWN,0,gray,white,122,Sonoma County Animal Shelter,122
MASTIFF,Male,2013-08-01,2023-08-01,2023-08-18,STRAY,DOG,euthanize,UNKNOWN,17,fawn,black,3669,Sonoma County Animal Shelter,3652
DOMESTIC SH,Spayed,2017-05-26,2017-07-26,2017-08-04,OWNER SURRENDER,CAT,adoption,HEALTHY,9,black,white,70,Sonoma County Animal Shelter,61
ENG BULLDOG,Male,1900-01-01,2023-07-12,2023-08-18,STRAY,DOG,euthanize,UNKNOWN,37,white,brown,NaT,Sonoma County Animal Shelter,45117
DOMESTIC SH,Unknown,2023-05-01,2023-08-18,2023-08-18,STRAY,CAT,transfer,UNKNOWN,0,gray,none,109,Sonoma County Animal Shelter,109
DOMESTIC SH,Neutered,2023-05-04,2023-08-11,2023-08-12,ADOPTION RETURN,CAT,adoption,HEALTHY,1,black,white,100,Sonoma County Animal Shelter,99
PIT BULL,Male,2016-02-17,2023-08-11,2023-08-18,CONFISCATE,DOG,return to owner,UNKNOWN,7,gray,white,2739,Sonoma County Animal Shelter,2732
PIT BULL,Male,2015-08-17,2023-08-17,2023-08-17,STRAY,DOG,return to owner,UNKNOWN,0,black,white,2922,Sonoma County Animal Shelter,2922
DOMESTIC SH,Unknown,2023-05-01,2023-08-18,2023-08-18,STRAY,CAT,transfer,UNKNOWN,0,black,none,109,Sonoma County Animal Shelter,109
CHIHUAHUA SH,Spayed,2002-01-29,2014-12-31,2015-02-11,STRAY,DOG,adoption,UNTREATABLE,42,black,brown,4761,Sonoma County Animal Shelter,4719
CHIHUAHUA SH,Neutered,2011-04-27,2023-08-11,2023-08-18,STRAY,DOG,return to owner,UNKNOWN,7,brown,none,4496,Sonoma County Animal Shelter,4489
DOMESTIC SH,Spayed,2017-05-11,2017-07-26,2017-08-04,OWNER SURRENDER,CAT,adoption,HEALTHY,9,tortie,white,85,Sonoma County Animal Shelter,76
DOMESTIC SH,Spayed,2023-02-22,2023-07-22,2023-08-18,STRAY,CAT,adoption,HEALTHY,27,white,black,177,Sonoma County Animal Shelter,150
PIT BULL,Female,1900-01-01,2023-07-05,2023-08-18,STRAY,DOG,euthanize,HEALTHY,44,brown,none,NaT,Sonoma County Animal Shelter,45110
PIT BULL/MIX,Male,2020-02-18,2023-08-17,2023-08-18,STRAY,DOG,return to owner,UNKNOWN,1,white,none,1277,Sonoma County Animal Shelter,1276
DOMESTIC SH,Neutered,2023-05-04,2023-04-22,2023-08-04,BORN HERE,CAT,adoption,UNKNOWN,104,black,white,92,Sonoma County Animal Shelter,-12
DOMESTIC SH,Unknown,2023-07-09,2023-08-19,2023-08-19,STRAY,CAT,transfer,TREATABLE/REHAB,0,brn tabby,none,41,Sonoma County Animal Shelter,41
DOMESTIC SH,Unknown,2023-07-09,2023-08-19,2023-08-19,STRAY,CAT,transfer,TREATABLE/REHAB,0,org tabby,none,41,Sonoma County Animal Shelter,41
DOMESTIC MH,Spayed,2011-12-16,2015-12-16,2015-12-26,OWNER SURRENDER,CAT,adoption,HEALTHY,10,white,gray,1471,Sonoma County Animal Shelter,1461
AUST CATTLE DOG,Female,1900-01-01,2023-05-26,2100-01-01,CONFISCATE,DOG,not available,UNKNOWN,0,black,blue,NaT,Sonoma County Animal Shelter,45070
DOMESTIC SH,Neutered,2023-03-15,2023-07-05,2023-08-19,STRAY,CAT,adoption,HEALTHY,45,brn tabby,none,157,Sonoma County Animal Shelter,112
GERM SHEPHERD/MIX,Neutered,2020-01-24,2023-01-08,2023-08-19,STRAY,DOG,adoption,TREATABLE/REHAB,223,tan,black,1303,Sonoma County Animal Shelter,1080
DOMESTIC SH,Spayed,2015-08-11,2023-06-01,2023-08-11,STRAY,CAT,adoption,HEALTHY,71,brn tabby,white,2922,Sonoma County Animal Shelter,2851
BELG MALINOIS/MIX,Spayed,2023-05-08,2023-07-14,2023-08-19,OWNER SURRENDER,DOG,adoption,HEALTHY,36,black,tan,103,Sonoma County Animal Shelter,67
DOMESTIC SH,Spayed,2023-05-31,2023-07-05,2023-08-19,STRAY,CAT,adoption,HEALTHY,45,brn tabby,none,80,Sonoma County Animal Shelter,35
DOMESTIC SH,Neutered,2023-04-28,2023-07-28,2023-08-19,STRAY,CAT,adoption,HEALTHY,22,black,white,113,Sonoma County Animal Shelter,91
SCHNAUZER MIN/MIX,Spayed,2020-06-29,2023-06-29,2023-08-19,STRAY,DOG,adoption,HEALTHY,51,gray,none,1146,Sonoma County Animal Shelter,1095
DUCK,Unknown,1900-01-01,2023-07-31,2023-08-19,STRAY,OTHER,adoption,UNKNOWN,19,brown,white,NaT,Sonoma County Animal Shelter,45136
DOMESTIC SH,Neutered,2023-04-15,2023-07-14,2023-08-19,STRAY,CAT,adoption,HEALTHY,36,brn tabby,none,126,Sonoma County Animal Shelter,90
DUCK,Unknown,1900-01-01,2023-08-19,2023-08-19,STRAY,OTHER,euthanize,UNKNOWN,0,white,none,NaT,Sonoma County Animal Shelter,45155
PIT BULL,Spayed,2019-08-22,2023-08-21,2023-08-22,STRAY,DOG,return to owner,HEALTHY,1,tan,none,1461,Sonoma County Animal Shelter,1460
HORSE,Neutered,2001-02-11,2023-08-21,2100-01-01,CONFISCATE,OTHER,not available,UNKNOWN,0,brown,black,NaT,Sonoma County Animal Shelter,8226
PARSON RUSS TER,Female,2017-08-19,2023-08-19,2023-08-22,STRAY,DOG,return to owner,HEALTHY,3,tricolor,none,2194,Sonoma County Animal Shelter,2191
PIT BULL/MIX,Female,1900-01-01,2021-04-21,2021-04-21,STRAY,DOG,return to owner,UNKNOWN,0,br brindle,white,NaT,Sonoma County Animal Shelter,44305
GREAT PYRENEES/MIX,Neutered,2019-05-17,2022-04-22,2022-05-31,STRAY,DOG,adoption,HEALTHY,39,white,none,1110,Sonoma County Animal Shelter,1071
DOMESTIC SH,Spayed,1900-01-01,2023-08-22,2023-08-22,STRAY,CAT,return to owner,UNKNOWN,0,gray tabby,none,NaT,Sonoma County Animal Shelter,45158
DOMESTIC SH,Neutered,2018-02-22,2023-08-08,2023-08-22,STRAY,CAT,return to owner,UNKNOWN,14,orange,white,2007,Sonoma County Animal Shelter,1993
SCHNAUZER MIN,Spayed,1900-01-01,2018-11-08,2018-11-08,STRAY,DOG,return to owner,HEALTHY,0,white,none,NaT,Sonoma County Animal Shelter,43410
RABBIT SH,Female,2023-02-10,2023-08-08,2100-01-01,STRAY,OTHER,not available,UNKNOWN,0,seal pt,none,NaT,Sonoma County Animal Shelter,179
DOMESTIC MH,Spayed,2023-04-16,2023-06-16,2023-08-22,STRAY,CAT,adoption,HEALTHY,67,white,black,128,Sonoma County Animal Shelter,61
CANE CORSO,Male,2022-02-26,2023-08-21,2023-08-22,STRAY,DOG,return to owner,UNKNOWN,1,black,white,542,Sonoma County Animal Shelter,541
POODLE MIN/MIX,Neutered,2005-08-17,2023-08-17,2023-08-22,STRAY,DOG,return to owner,UNKNOWN,5,gray,none,6579,Sonoma County Animal Shelter,6574
DOMESTIC SH,Spayed,2021-06-29,2023-08-16,2023-08-22,ADOPTION RETURN,CAT,adoption,UNKNOWN,6,brn tabby,white,784,Sonoma County Animal Shelter,778
DOMESTIC MH,Neutered,2023-04-16,2023-06-16,2023-08-22,STRAY,CAT,adoption,HEALTHY,67,white,black,128,Sonoma County Animal Shelter,61
CHIHUAHUA SH,Neutered,2011-08-15,2023-08-21,2023-08-22,CONFISCATE,DOG,return to owner,UNKNOWN,1,tan,none,4390,Sonoma County Animal Shelter,4389
PIT BULL,Female,2016-04-23,2022-02-04,2022-02-05,CONFISCATE,DOG,return to owner,UNKNOWN,1,fawn,white,2114,Sonoma County Animal Shelter,2113
BELG MALINOIS/GERM SHEPHERD,Female,2015-05-03,2016-05-03,2016-05-13,OWNER SURRENDER,DOG,transfer,HEALTHY,10,black,tan,376,Sonoma County Animal Shelter,366
GERM SHEPHERD,Spayed,2014-12-20,2016-11-23,2016-12-28,STRAY,DOG,transfer,HEALTHY,35,black,none,739,Sonoma County Animal Shelter,704
GERM SHEPHERD,Spayed,2012-05-14,2014-05-14,2014-06-08,STRAY,DOG,transfer,TREATABLE/REHAB,25,black,tan,755,Sonoma County Animal Shelter,730
GERM SHEPHERD/MIX,Neutered,2019-01-09,2021-01-09,2021-03-06,STRAY,DOG,transfer,HEALTHY,56,brown,black,787,Sonoma County Animal Shelter,731
GERM SHEPHERD/SIBERIAN HUSKY,Spayed,2015-05-17,2016-05-17,2016-07-08,STRAY,DOG,transfer,HEALTHY,52,white,none,418,Sonoma County Animal Shelter,366
GERM SHEPHERD,Spayed,2016-01-20,2021-01-19,2021-03-06,STRAY,DOG,transfer,TREATABLE/MANAGEABLE,46,tan,black,1872,Sonoma County Animal Shelter,1826
GERM SHEPHERD,Neutered,2012-11-14,2016-04-14,2016-05-24,OWNER SURRENDER,DOG,transfer,HEALTHY,40,brown,black,1287,Sonoma County Animal Shelter,1247
GERM SHEPHERD,Neutered,2011-12-04,2014-04-12,2014-04-18,OWNER SURRENDER,DOG,transfer,HEALTHY,6,brown,black,866,Sonoma County Animal Shelter,860
GERM SHEPHERD,Neutered,2015-12-01,2016-08-01,2016-08-12,STRAY,DOG,transfer,HEALTHY,11,black,tan,255,Sonoma County Animal Shelter,244
GERM SHEPHERD,Male,2010-07-06,2017-07-06,2017-08-18,STRAY,DOG,transfer,UNKNOWN,43,tan,black,2600,Sonoma County Animal Shelter,2557
DOMESTIC MH,Neutered,2020-06-22,2023-08-12,2023-08-23,ADOPTION RETURN,CAT,adoption,HEALTHY,11,black,none,1157,Sonoma County Animal Shelter,1146
GERM SHEPHERD,Neutered,2017-12-31,2018-05-23,2018-06-15,STRAY,DOG,transfer,HEALTHY,23,black,none,166,Sonoma County Animal Shelter,143
BEAGLE/CHIHUAHUA SH,Female,2020-08-16,2023-08-16,2023-08-23,STRAY,DOG,return to owner,UNKNOWN,7,tan,none,1102,Sonoma County Animal Shelter,1095
GERM SHEPHERD,Male,2012-09-20,2014-09-20,2014-09-27,STRAY,DOG,transfer,HEALTHY,7,tan,black,737,Sonoma County Animal Shelter,730
GERM SHEPHERD/MIX,Female,2016-10-04,2019-10-04,2019-10-22,OWNER SURRENDER,DOG,transfer,UNKNOWN,18,black,tan,1113,Sonoma County Animal Shelter,1095
