Animal_Type,DOB,Primary_Color,Secondary_Color,Sex,Intake_Date,Intake_Condition,Intake_Type,Outcome_Date,Outcome_Type,Intake_Age,Outcome_Age,Time_in_Shelter_Days,Intake_Age_Days,Breed,Shelter_Name
CAT,2018-08-12,BRN TABBY,None,Unknown,2018-09-12,UNDER AGE/WEIGHT,STRAY,2018-09-12,EUTHANASIA,31 days,31 days,0 days,31,Unknown,Long Beach California Animal Shelter
DOG,2022-06-02,BROWN,BLACK,Spayed,2024-01-03,NORMAL,OWNER SURRENDER,2024-01-06,RESCUE,580 days,583 days,3 days,580,Unknown,Long Beach California Animal Shelter
CAT,2021-09-07,BRN TABBY,None,Spayed,2023-09-07,ILL MILD,STRAY,2023-12-10,ADOPTION,730 days,824 days,94 days,730,Unknown,Long Beach California Animal Shelter
DOG,2019-12-28,TAN,None,Male,2024-12-28,INJURED  SEVERE,STRAY,2025-01-05,RESCUE,1827 days,1835 days,8 days,1827,Unknown,Long Beach California Animal Shelter
DOG,2022-12-01,BLACK,BROWN,Male,2023-03-16,NORMAL,OWNER SURRENDER,2023-03-16,TRANSFER,105 days,105 days,0 days,105,Unknown,Long Beach California Animal Shelter
DOG,2023-03-15,WHITE,None,Unknown,2023-03-16,NORMAL,OWNER SURRENDER,2023-03-24,RESCUE,1 days,9 days,8 days,1,Unknown,Long Beach California Animal Shelter
DOG,2020-03-16,BLACK,BROWN,Female,2023-03-16,NORMAL,OWNER SURRENDER,2023-03-24,RESCUE,1095 days,1103 days,8 days,1095,Unknown,Long Beach California Animal Shelter
CAT,2019-08-13,BRN TABBY,None,Male,2019-08-17,UNDER AGE/WEIGHT,STRAY,2019-08-17,DIED,4 days,4 days,0 days,4,Unknown,Long Beach California Animal Shelter
WILD,2016-01-29,GRAY,None,Unknown,2019-01-29,INJURED  SEVERE,WILDLIFE,2019-01-29,EUTHANASIA,1096 days,1096 days,0 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2017-08-01,WHITE,BROWN,Male,2017-09-01,NORMAL,STRAY,2017-09-07,TRANSFER,31 days,37 days,6 days,31,Unknown,Long Beach California Animal Shelter
CAT,2016-11-14,GRAY TABBY,None,Male,2017-04-14,ILL SEVERE,STRAY,2017-04-27,RESCUE,151 days,164 days,13 days,151,Unknown,Long Beach California Animal Shelter
CAT,2017-05-25,BRN TABBY,None,Unknown,2017-06-25,UNDER AGE/WEIGHT,STRAY,2017-06-25,EUTHANASIA,31 days,31 days,0 days,31,Unknown,Long Beach California Animal Shelter
CAT,2014-01-11,BRN TABBY,WHITE,Male,2018-01-11,INJURED  SEVERE,STRAY,2018-01-11,DIED,1461 days,1461 days,0 days,1461,Unknown,Long Beach California Animal Shelter
BIRD,2021-05-24,WHITE,GRAY,Unknown,2022-05-24,INJURED  MILD,STRAY,2022-05-26,ADOPTION,365 days,367 days,2 days,365,Unknown,Long Beach California Animal Shelter
BIRD,2020-05-01,BROWN,BROWN,Unknown,2020-07-31,NORMAL,WILDLIFE,2020-07-31,RETURN TO WILD HABITAT,91 days,91 days,0 days,91,Unknown,Long Beach California Animal Shelter
BIRD,2020-01-15,WHITE,GRAY,Unknown,2021-01-15,NORMAL,STRAY,2021-01-22,RESCUE,366 days,373 days,7 days,366,Unknown,Long Beach California Animal Shelter
CAT,2010-03-06,GRAY,WHITE,Spayed,2019-07-02,NORMAL,SAFE KEEP,2019-07-10,RETURN TO OWNER,3405 days,3413 days,8 days,3405,Unknown,Long Beach California Animal Shelter
CAT,2014-03-25,BLACK,None,Female,2017-03-25,ILL MILD,STRAY,2017-03-25,EUTHANASIA,1096 days,1096 days,0 days,1096,Unknown,Long Beach California Animal Shelter
DOG,2021-05-11,TAN,None,Spayed,2022-05-11,NORMAL,STRAY,2022-05-18,ADOPTION,365 days,372 days,7 days,365,Unknown,Long Beach California Animal Shelter
DOG,2014-02-08,TAN,WHITE,Male,2018-02-08,NORMAL,STRAY,2018-02-14,TRANSFER,1461 days,1467 days,6 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2022-03-25,BRN TABBY,None,Male,2022-04-11,ILL MODERATETE,STRAY,2022-06-26,MISSING,17 days,93 days,76 days,17,Unknown,Long Beach California Animal Shelter
OTHER,2019-07-29,BROWN,None,Unknown,2020-07-29,INJURED  SEVERE,WILDLIFE,2020-07-29,TRANSFER,366 days,366 days,0 days,366,Unknown,Long Beach California Animal Shelter
CAT,2012-04-13,SEAL PT,None,Male,2022-04-13,INJURED  SEVERE,STRAY,2022-04-13,EUTHANASIA,3652 days,3652 days,0 days,3652,Unknown,Long Beach California Animal Shelter
CAT,2017-01-09,WHITE,GRAY,Neutered,2020-01-09,FRACTIOUS,STRAY,2020-01-14,"SHELTER, NEUTER, RETURN",1095 days,1100 days,5 days,1095,Unknown,Long Beach California Animal Shelter
DOG,2015-10-20,WHITE,TAN,Male,2017-10-20,NORMAL,STRAY,2017-10-27,TRANSFER,731 days,738 days,7 days,731,Unknown,Long Beach California Animal Shelter
DOG,2019-08-09,GRAY,BLACK,Female,2021-08-08,NORMAL,STRAY,2021-08-11,RETURN TO OWNER,730 days,733 days,3 days,730,Unknown,Long Beach California Animal Shelter
DOG,2021-10-10,BLACK,TAN,Neutered,2023-10-08,NORMAL,STRAY,2024-03-10,ADOPTION,728 days,882 days,154 days,728,Unknown,Long Beach California Animal Shelter
DOG,2018-05-08,BLACK,WHITE,Female,2018-08-08,NORMAL,STRAY,2018-08-15,TRANSFER,92 days,99 days,7 days,92,Unknown,Long Beach California Animal Shelter
CAT,2017-04-13,BLACK,None,Female,2017-07-13,NORMAL,STRAY,2017-07-25,RESCUE,91 days,103 days,12 days,91,Unknown,Long Beach California Animal Shelter
DOG,2017-01-13,BROWN,WHITE,Neutered,2019-01-13,NORMAL,STRAY,2019-01-13,RETURN TO OWNER,730 days,730 days,0 days,730,Unknown,Long Beach California Animal Shelter
DOG,2012-03-01,BROWN,WHITE,Neutered,2020-03-01,BEHAVIOR  SEVERE,OWNER SURRENDER,2020-04-21,RESCUE,2922 days,2973 days,51 days,2922,Unknown,Long Beach California Animal Shelter
DOG,2017-07-18,GRAY,WHITE,Spayed,2022-07-18,AGED,STRAY,2023-04-08,ADOPTION,1826 days,2090 days,264 days,1826,Unknown,Long Beach California Animal Shelter
WILD,2021-07-20,BLACK,GRAY,Unknown,2021-08-20,ILL SEVERE,WILDLIFE,2021-08-20,EUTHANASIA,31 days,31 days,0 days,31,Unknown,Long Beach California Animal Shelter
DOG,2011-10-04,RED,WHITE,Neutered,2019-03-11,BEHAVIOR  MODERATE,OWNER SURRENDER,2019-04-05,EUTHANASIA,2715 days,2740 days,25 days,2715,Unknown,Long Beach California Animal Shelter
CAT,2021-06-13,BLACK,None,Male,2022-01-13,NORMAL,WELFARE SEIZED,2022-01-29,RETURN TO OWNER,214 days,230 days,16 days,214,Unknown,Long Beach California Animal Shelter
BIRD,2017-05-01,BLACK,WHITE,Unknown,2018-05-01,ILL SEVERE,STRAY,2018-05-08,ADOPTION,365 days,372 days,7 days,365,Unknown,Long Beach California Animal Shelter
CAT,2023-03-30,GRAY,WHITE,Spayed,2023-05-24,ILL MILD,STRAY,2023-05-27,ADOPTION,55 days,58 days,3 days,55,Unknown,Long Beach California Animal Shelter
CAT,2016-10-23,CALICO,BLACK,Female,2017-02-23,NORMAL,OWNER SURRENDER,2017-02-23,TRANSFER,123 days,123 days,0 days,123,Unknown,Long Beach California Animal Shelter
CAT,2017-02-06,BLACK,None,Female,2017-02-23,UNDER AGE/WEIGHT,OWNER SURRENDER,2017-02-23,TRANSFER,17 days,17 days,0 days,17,Unknown,Long Beach California Animal Shelter
CAT,2017-02-06,WHITE,None,Male,2017-02-23,UNDER AGE/WEIGHT,OWNER SURRENDER,2017-02-23,TRANSFER,17 days,17 days,0 days,17,Unknown,Long Beach California Animal Shelter
CAT,2017-01-30,GRAY TABBY,WHITE,Male,2017-02-23,UNDER AGE/WEIGHT,OWNER SURRENDER,2017-02-24,RESCUE,24 days,25 days,1 days,24,Unknown,Long Beach California Animal Shelter
CAT,2017-05-13,ORANGE,None,Male,2017-06-13,UNDER AGE/WEIGHT,STRAY,2017-06-14,RESCUE,31 days,32 days,1 days,31,Unknown,Long Beach California Animal Shelter
DOG,2007-03-27,TAN,None,Neutered,2018-03-27,INJURED  MILD,STRAY,2018-03-31,EUTHANASIA,4018 days,4022 days,4 days,4018,Unknown,Long Beach California Animal Shelter
DOG,2021-12-12,BR BRINDLE,None,Neutered,2022-11-12,NORMAL,STRAY,2022-11-30,ADOPTION,335 days,353 days,18 days,335,Unknown,Long Beach California Animal Shelter
DOG,2017-07-05,WHITE,None,Neutered,2021-07-05,NORMAL,STRAY,2021-07-05,RETURN TO OWNER,1461 days,1461 days,0 days,1461,Unknown,Long Beach California Animal Shelter
DOG,2011-12-10,WHITE,None,Female,2018-12-19,NORMAL,STRAY,2018-12-20,RETURN TO OWNER,2566 days,2567 days,1 days,2566,Unknown,Long Beach California Animal Shelter
DOG,2016-07-09,WHITE,None,Female,2024-07-09,ILL SEVERE,STRAY,2024-07-10,RETURN TO OWNER,2922 days,2923 days,1 days,2922,Unknown,Long Beach California Animal Shelter
DOG,2020-12-23,WHITE,None,Male,2021-12-23,NORMAL,STRAY,2021-12-24,RETURN TO OWNER,365 days,366 days,1 days,365,Unknown,Long Beach California Animal Shelter
DOG,2013-12-21,WHITE,TRICOLOR,Neutered,2019-08-04,NORMAL,OWNER SURRENDER,2019-08-17,ADOPTION,2052 days,2065 days,13 days,2052,Unknown,Long Beach California Animal Shelter
DOG,2015-01-16,BR BRINDLE,None,Neutered,2020-01-16,ILL SEVERE,STRAY,2020-01-25,ADOPTION,1826 days,1835 days,9 days,1826,Unknown,Long Beach California Animal Shelter
DOG,2020-12-26,WHITE,BROWN,Female,2023-12-26,I/I REPORT,STRAY,2023-12-29,RESCUE,1095 days,1098 days,3 days,1095,Unknown,Long Beach California Animal Shelter
DOG,2017-09-20,BLACK,BROWN,Spayed,2024-09-20,NORMAL,STRAY,2024-09-27,ADOPTION,2557 days,2564 days,7 days,2557,Unknown,Long Beach California Animal Shelter
CAT,2022-05-10,WHITE,BLACK,Male,2022-06-03,UNDER AGE/WEIGHT,STRAY,2022-06-04,EUTHANASIA,24 days,25 days,1 days,24,Unknown,Long Beach California Animal Shelter
DOG,2015-06-13,BROWN,None,Female,2019-06-13,INJURED  MODERATE,STRAY,2019-07-02,RESCUE,1461 days,1480 days,19 days,1461,Unknown,Long Beach California Animal Shelter
CAT,2024-08-12,GRAY,WHITE,Male,2024-09-12,UNDER AGE/WEIGHT,STRAY,2024-10-12,RESCUE,31 days,61 days,30 days,31,Unknown,Long Beach California Animal Shelter
CAT,2024-08-12,GRAY,WHITE,Female,2024-09-12,UNDER AGE/WEIGHT,STRAY,2024-10-12,RESCUE,31 days,61 days,30 days,31,Unknown,Long Beach California Animal Shelter
CAT,2022-03-17,TRICOLOR,None,Female,2022-08-17,NORMAL,OWNER SURRENDER,2022-08-28,ADOPTION,153 days,164 days,11 days,153,Unknown,Long Beach California Animal Shelter
CAT,2021-11-14,BLACK,WHITE,Spayed,2022-04-15,NORMAL,STRAY,2022-04-23,ADOPTION,152 days,160 days,8 days,152,Unknown,Long Beach California Animal Shelter
CAT,2019-09-06,BRN TABBY,WHITE,Male,2019-11-06,NORMAL,STRAY,2019-11-13,RESCUE,61 days,68 days,7 days,61,Unknown,Long Beach California Animal Shelter
CAT,2024-04-05,BLACK,None,Female,2024-04-11,UNDER AGE/WEIGHT,STRAY,2024-06-11,RESCUE,6 days,67 days,61 days,6,Unknown,Long Beach California Animal Shelter
CAT,2024-04-05,BLACK,None,Male,2024-04-11,UNDER AGE/WEIGHT,STRAY,2024-06-11,RESCUE,6 days,67 days,61 days,6,Unknown,Long Beach California Animal Shelter
DOG,2007-01-08,BLACK,WHITE,Spayed,2019-11-02,ILL SEVERE,OWNER SURRENDER,2019-11-06,ADOPTION,4681 days,4685 days,4 days,4681,Unknown,Long Beach California Animal Shelter
CAT,2018-04-01,BRN TABBY,None,Unknown,2018-05-01,UNDER AGE/WEIGHT,STRAY,2018-05-05,RESCUE,30 days,34 days,4 days,30,Unknown,Long Beach California Animal Shelter
DOG,2020-06-04,BROWN,None,Neutered,2022-06-03,NORMAL,STRAY,2022-06-09,ADOPTION,729 days,735 days,6 days,729,Unknown,Long Beach California Animal Shelter
CAT,2018-04-23,WHITE,BLACK,Unknown,2018-05-15,UNDER AGE/WEIGHT,STRAY,2018-05-25,EUTHANASIA,22 days,32 days,10 days,22,Unknown,Long Beach California Animal Shelter
CAT,2022-08-20,ORANGE,WHITE,Male,2022-09-03,ILL MILD,STRAY,2022-10-07,RESCUE,14 days,48 days,34 days,14,Unknown,Long Beach California Animal Shelter
CAT,2023-04-19,GRAY TABBY,BLACK,Neutered,2024-04-18,FRACTIOUS,STRAY,2024-04-27,COMMUNITY CAT,365 days,374 days,9 days,365,Unknown,Long Beach California Animal Shelter
DOG,2020-09-21,BLACK,BROWN,Neutered,2023-09-21,NORMAL,STRAY,2024-01-13,ADOPTION,1095 days,1209 days,114 days,1095,Unknown,Long Beach California Animal Shelter
DOG,2018-02-11,TAN,None,Spayed,2018-03-22,UNDER AGE/WEIGHT,STRAY,2018-06-01,ADOPTION,39 days,110 days,71 days,39,Unknown,Long Beach California Animal Shelter
CAT,2017-08-25,WHITE,GRAY,Female,2017-09-07,UNDER AGE/WEIGHT,STRAY,2017-09-09,RESCUE,13 days,15 days,2 days,13,Unknown,Long Beach California Animal Shelter
CAT,2017-08-25,GRAY,WHITE,Male,2017-09-07,UNDER AGE/WEIGHT,STRAY,2017-09-09,RESCUE,13 days,15 days,2 days,13,Unknown,Long Beach California Animal Shelter
DOG,2008-11-13,BROWN,None,Spayed,2018-03-11,ILL SEVERE,OWNER SURRENDER,2018-03-30,RESCUE,3405 days,3424 days,19 days,3405,Unknown,Long Beach California Animal Shelter
CAT,2015-10-06,CALICO,None,Spayed,2018-10-06,NORMAL,STRAY,2018-12-16,ADOPTION,1096 days,1167 days,71 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2018-07-22,WHITE,None,Female,2018-10-06,NORMAL,STRAY,2018-10-06,EUTHANASIA,76 days,76 days,0 days,76,Unknown,Long Beach California Animal Shelter
DOG,2014-11-16,WHITE,None,Male,2022-11-16,ILL MILD,OWNER SURRENDER,2023-01-09,EUTHANASIA,2922 days,2976 days,54 days,2922,Unknown,Long Beach California Animal Shelter
DOG,2019-06-30,BROWN,WHITE,Neutered,2021-06-30,INJURED  MILD,STRAY,2021-07-18,ADOPTION,731 days,749 days,18 days,731,Unknown,Long Beach California Animal Shelter
CAT,2019-09-17,GRAY,None,Spayed,2020-09-17,FRACTIOUS,OWNER SURRENDER,2020-10-08,TRANSFER,366 days,387 days,21 days,366,Unknown,Long Beach California Animal Shelter
DOG,2019-03-20,BLACK,None,Spayed,2024-03-18,NORMAL,STRAY,2024-03-27,RETURN TO OWNER,1825 days,1834 days,9 days,1825,Unknown,Long Beach California Animal Shelter
DOG,2022-02-06,BROWN,None,Neutered,2022-06-05,NORMAL,STRAY,2022-06-16,HOMEFIRST,119 days,130 days,11 days,119,Unknown,Long Beach California Animal Shelter
DOG,2015-02-09,BROWN,WHITE,Neutered,2020-03-07,BEHAVIOR  MODERATE,OWNER SURRENDER,2020-04-18,RESCUE,1853 days,1895 days,42 days,1853,Unknown,Long Beach California Animal Shelter
DOG,2009-08-25,BLACK,None,Spayed,2018-05-14,NORMAL,STRAY,2018-05-18,RETURN TO OWNER,3184 days,3188 days,4 days,3184,Unknown,Long Beach California Animal Shelter
DOG,2018-09-12,TAN,None,Female,2023-09-12,INJURED  SEVERE,STRAY,2023-09-13,EUTHANASIA,1826 days,1827 days,1 days,1826,Unknown,Long Beach California Animal Shelter
CAT,2022-04-05,WHITE,GRAY,Neutered,2022-07-05,ILL MILD,STRAY,2022-08-25,ADOPTION,91 days,142 days,51 days,91,Unknown,Long Beach California Animal Shelter
BIRD,2019-05-06,TRICOLOR,None,Unknown,2021-05-06,INJURED  MODERATE,WILDLIFE,2021-05-06,TRANSFER,731 days,731 days,0 days,731,Unknown,Long Beach California Animal Shelter
DOG,2015-06-16,WHITE,BROWN,Female,2017-06-16,NORMAL,STRAY,2017-06-22,TRANSFER,731 days,737 days,6 days,731,Unknown,Long Beach California Animal Shelter
CAT,2019-11-26,ORG TABBY,WHITE,Neutered,2020-07-26,NORMAL,STRAY,2020-07-26,RETURN TO OWNER,243 days,243 days,0 days,243,Unknown,Long Beach California Animal Shelter
BIRD,2019-07-26,BROWN,WHITE,Unknown,2020-07-26,INJURED  MODERATE,WILDLIFE,2020-07-26,TRANSFER,366 days,366 days,0 days,366,Unknown,Long Beach California Animal Shelter
CAT,2017-10-14,CRM TABBY,None,Male,2017-11-02,UNDER AGE/WEIGHT,STRAY,2017-11-02,EUTHANASIA,19 days,19 days,0 days,19,Unknown,Long Beach California Animal Shelter
CAT,2020-04-23,BRN TABBY,WHITE,Female,2020-06-23,INJURED  MODERATE,STRAY,2020-07-21,RESCUE,61 days,89 days,28 days,61,Unknown,Long Beach California Animal Shelter
CAT,2018-05-16,GRAY TABBY,None,Female,2018-05-19,NORMAL,STRAY,2018-08-11,RESCUE,3 days,87 days,84 days,3,Unknown,Long Beach California Animal Shelter
CAT,2020-01-24,BRN TABBY,WHITE,Spayed,2020-04-24,NORMAL,STRAY,2020-04-30,FOSTER TO ADOPT,91 days,97 days,6 days,91,Unknown,Long Beach California Animal Shelter
DOG,2016-02-12,BLACK,WHITE,Female,2017-02-12,NORMAL,STRAY,2017-02-18,TRANSFER,366 days,372 days,6 days,366,Unknown,Long Beach California Animal Shelter
DOG,2020-12-31,BROWN,WHITE,Male,2021-12-31,ILL SEVERE,OWNER SURRENDER,2021-12-31,EUTHANASIA,365 days,365 days,0 days,365,Unknown,Long Beach California Animal Shelter
DOG,2020-01-12,WHITE,BLACK,Neutered,2021-01-12,BEHAVIOR  MODERATE,STRAY,2021-01-20,ADOPTION,366 days,374 days,8 days,366,Unknown,Long Beach California Animal Shelter
CAT,2020-06-16,BLACK,WHITE,Neutered,2020-10-16,NORMAL,STRAY,2020-11-05,ADOPTION,122 days,142 days,20 days,122,Unknown,Long Beach California Animal Shelter
DOG,2013-08-30,BLACK,WHITE,Male,2018-08-30,NORMAL,STRAY,2018-09-09,RETURN TO OWNER,1826 days,1836 days,10 days,1826,Unknown,Long Beach California Animal Shelter
CAT,2022-09-06,BLACK,WHITE,Male,2022-11-06,UNDER AGE/WEIGHT,STRAY,2022-12-06,TRANSFER,61 days,91 days,30 days,61,Unknown,Long Beach California Animal Shelter
CAT,2022-09-06,GRAY,WHITE,Female,2022-11-06,UNDER AGE/WEIGHT,STRAY,2022-11-18,ADOPTION,61 days,73 days,12 days,61,Unknown,Long Beach California Animal Shelter
CAT,2022-09-06,GRAY,WHITE,Male,2022-11-06,UNDER AGE/WEIGHT,STRAY,2022-11-13,ADOPTION,61 days,68 days,7 days,61,Unknown,Long Beach California Animal Shelter
CAT,2024-07-11,GRAY TABBY,None,Female,2024-08-07,UNDER AGE/WEIGHT,STRAY,2024-08-16,RESCUE,27 days,36 days,9 days,27,Unknown,Long Beach California Animal Shelter
DOG,2020-03-08,BROWN,WHITE,Neutered,2023-03-08,NORMAL,WELFARE SEIZED,2023-03-15,RETURN TO OWNER,1095 days,1102 days,7 days,1095,Unknown,Long Beach California Animal Shelter
DOG,2014-11-09,BR BRINDLE,WHITE,Male,2017-11-09,INJURED  SEVERE,STRAY,2017-11-15,RETURN TO OWNER,1096 days,1102 days,6 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2018-07-25,ORANGE,WHITE,Male,2018-08-15,UNDER AGE/WEIGHT,STRAY,2018-08-15,EUTHANASIA,21 days,21 days,0 days,21,Unknown,Long Beach California Animal Shelter
BIRD,2019-09-11,WHITE,GRAY,Unknown,2020-09-11,INJURED  SEVERE,WILDLIFE,2020-09-11,EUTHANASIA,366 days,366 days,0 days,366,Unknown,Long Beach California Animal Shelter
DOG,2021-09-22,BROWN,WHITE,Neutered,2022-09-22,NORMAL,STRAY,2022-10-19,ADOPTION,365 days,392 days,27 days,365,Unknown,Long Beach California Animal Shelter
CAT,2019-08-18,BLACK,WHITE,Neutered,2019-10-02,UNDER AGE/WEIGHT,STRAY,2019-10-06,ADOPTION,45 days,49 days,4 days,45,Unknown,Long Beach California Animal Shelter
CAT,2018-05-11,GRAY TABBY,WHITE,Female,2018-07-11,UNDER AGE/WEIGHT,STRAY,2018-07-26,RESCUE,61 days,76 days,15 days,61,Unknown,Long Beach California Animal Shelter
CAT,2018-05-11,WHITE,BLACK,Male,2018-07-11,UNDER AGE/WEIGHT,STRAY,2018-07-25,EUTHANASIA,61 days,75 days,14 days,61,Unknown,Long Beach California Animal Shelter
CAT,2016-07-11,CALICO,None,Female,2018-07-11,NORMAL,STRAY,2018-07-30,RESCUE,730 days,749 days,19 days,730,Unknown,Long Beach California Animal Shelter
DOG,2022-01-28,WHITE,CREAM,Female,2023-01-28,NORMAL,STRAY,2023-02-03,ADOPTION,365 days,371 days,6 days,365,Unknown,Long Beach California Animal Shelter
CAT,2022-09-08,TORTIE,None,Spayed,2023-01-07,NORMAL,STRAY,2023-01-11,RETURN TO OWNER,121 days,125 days,4 days,121,Unknown,Long Beach California Animal Shelter
RABBIT,2022-01-30,BLACK,WHITE,Neutered,2023-01-21,NORMAL,STRAY,2023-02-16,RESCUE,356 days,382 days,26 days,356,Unknown,Long Beach California Animal Shelter
DOG,2020-10-08,GRAY,None,Male,2022-10-08,NORMAL,STRAY,2023-06-17,ADOPTION,730 days,982 days,252 days,730,Unknown,Long Beach California Animal Shelter
DOG,2022-02-28,BLACK,BLACK,Female,2022-10-28,NORMAL,STRAY,2022-10-30,RETURN TO OWNER,242 days,244 days,2 days,242,Unknown,Long Beach California Animal Shelter
DOG,2020-11-05,BLACK,BROWN,Female,2021-04-05,ILL SEVERE,OWNER SURRENDER,2021-04-05,EUTHANASIA,151 days,151 days,0 days,151,Unknown,Long Beach California Animal Shelter
CAT,2019-03-06,GRAY TABBY,WHITE,Female,2020-02-28,NORMAL,STRAY,2020-03-23,RESCUE,359 days,383 days,24 days,359,Unknown,Long Beach California Animal Shelter
CAT,2014-07-31,GRAY,None,Female,2022-07-31,INJURED  MODERATE,STRAY,2022-07-31,TRANSFER,2922 days,2922 days,0 days,2922,Unknown,Long Beach California Animal Shelter
REPTILE,2017-03-20,BLACK,YELLOW,Unknown,2017-09-20,NORMAL,WILDLIFE,2017-09-27,RESCUE,184 days,191 days,7 days,184,Unknown,Long Beach California Animal Shelter
BIRD,2021-03-26,BROWN,None,Unknown,2023-03-26,INJURED  SEVERE,WILDLIFE,2023-03-26,RESCUE,730 days,730 days,0 days,730,Unknown,Long Beach California Animal Shelter
DOG,2014-05-27,SILVER,TAN,Spayed,2020-05-27,NORMAL,STRAY,2020-05-28,RETURN TO OWNER,2192 days,2193 days,1 days,2192,Unknown,Long Beach California Animal Shelter
DOG,2020-10-22,TAN,BLACK,Female,2021-10-22,NORMAL,STRAY,2022-01-19,TRANSFER,365 days,454 days,89 days,365,Unknown,Long Beach California Animal Shelter
DOG,2012-07-03,BLACK,None,Male,2024-07-03,NORMAL,STRAY,2024-07-07,RETURN TO OWNER,4383 days,4387 days,4 days,4383,Unknown,Long Beach California Animal Shelter
DOG,2014-01-08,CHOCOLATE,None,Female,2017-01-08,NORMAL,SAFE KEEP,2017-01-23,RETURN TO OWNER,1096 days,1111 days,15 days,1096,Unknown,Long Beach California Animal Shelter
CAT,2023-08-13,WHITE,None,Female,2023-09-24,UNDER AGE/WEIGHT,STRAY,2023-10-04,RESCUE,42 days,52 days,10 days,42,Unknown,Long Beach California Animal Shelter
DOG,2018-01-30,BROWN,RED,Neutered,2020-01-30,NORMAL,STRAY,2020-01-30,RETURN TO OWNER,730 days,730 days,0 days,730,Unknown,Long Beach California Animal Shelter
REPTILE,2019-02-15,GREEN,None,Unknown,2020-02-15,NORMAL,STRAY,2020-02-24,RESCUE,365 days,374 days,9 days,365,Unknown,Long Beach California Animal Shelter
CAT,2021-06-19,WHITE,None,Female,2023-06-19,INJURED  SEVERE,STRAY,2023-06-19,EUTHANASIA,730 days,730 days,0 days,730,Unknown,Long Beach California Animal Shelter
DOG,2021-08-31,BROWN,BLACK,Neutered,2023-08-30,NORMAL,STRAY,2023-12-09,ADOPTION,729 days,830 days,101 days,729,Unknown,Long Beach California Animal Shelter
DOG,2023-11-14,YELLOW,None,Neutered,2024-09-14,NORMAL,STRAY,2024-10-16,ADOPTION,305 days,337 days,32 days,305,Unknown,Long Beach California Animal Shelter
CAT,2024-07-11,WHITE,BLACK,Male,2024-07-17,UNDER AGE/WEIGHT,STRAY,2024-07-31,RESCUE,6 days,20 days,14 days,6,Unknown,Long Beach California Animal Shelter
RABBIT,2020-11-09,BLACK,WHITE,Neutered,2022-11-09,NORMAL,STRAY,2023-02-18,ADOPTION,730 days,831 days,101 days,730,Unknown,Long Beach California Animal Shelter
CAT,2020-05-09,BLACK,WHITE,Female,2020-07-09,FRACTIOUS,STRAY,2020-07-23,RESCUE,61 days,75 days,14 days,61,Unknown,Long Beach California Animal Shelter
